name,schema,description
a_lvr_land_a.csv,schema-main.csv,臺北市不動產買賣
a_lvr_land_a_build.csv,schema-build.csv,臺北市建物不動產買賣
a_lvr_land_a_land.csv,schema-land.csv,臺北市土地不動產買賣
a_lvr_land_a_park.csv,schema-park.csv,臺北市停車場不動產買賣
a_lvr_land_b.csv,schema-main.csv,臺北市預售屋買賣
a_lvr_land_b_land.csv,schema-land.csv,臺北市土地預售屋買賣
a_lvr_land_b_park.csv,schema-park.csv,臺北市停車場預售屋買賣
a_lvr_land_c.csv,schema-main-rent.csv,臺北市不動產租賃
a_lvr_land_c_build.csv,schema-build.csv,臺北市建物不動產租賃
a_lvr_land_c_land.csv,schema-land.csv,臺北市土地不動產租賃
a_lvr_land_c_park.csv,schema-park.csv,臺北市停車場不動產租賃
b_lvr_land_a.csv,schema-main.csv,臺中市不動產買賣
b_lvr_land_a_build.csv,schema-build.csv,臺中市建物不動產買賣
b_lvr_land_a_land.csv,schema-land.csv,臺中市土地不動產買賣
b_lvr_land_a_park.csv,schema-park.csv,臺中市停車場不動產買賣
b_lvr_land_b.csv,schema-main.csv,臺中市預售屋買賣
b_lvr_land_b_land.csv,schema-land.csv,臺中市土地預售屋買賣
b_lvr_land_b_park.csv,schema-park.csv,臺中市停車場預售屋買賣
b_lvr_land_c.csv,schema-main-rent.csv,臺中市不動產租賃
b_lvr_land_c_build.csv,schema-build.csv,臺中市建物不動產租賃
b_lvr_land_c_land.csv,schema-land.csv,臺中市土地不動產租賃
b_lvr_land_c_park.csv,schema-park.csv,臺中市停車場不動產租賃
c_lvr_land_a.csv,schema-main.csv,基隆市不動產買賣
c_lvr_land_a_build.csv,schema-build.csv,基隆市建物不動產買賣
c_lvr_land_a_land.csv,schema-land.csv,基隆市土地不動產買賣
c_lvr_land_a_park.csv,schema-park.csv,基隆市停車場不動產買賣
c_lvr_land_b.csv,schema-main.csv,基隆市預售屋買賣
c_lvr_land_b_land.csv,schema-land.csv,基隆市土地預售屋買賣
c_lvr_land_b_park.csv,schema-park.csv,基隆市停車場預售屋買賣
c_lvr_land_c.csv,schema-main-rent.csv,基隆市不動產租賃
c_lvr_land_c_build.csv,schema-build.csv,基隆市建物不動產租賃
c_lvr_land_c_land.csv,schema-land.csv,基隆市土地不動產租賃
c_lvr_land_c_park.csv,schema-park.csv,基隆市停車場不動產租賃
d_lvr_land_a.csv,schema-main.csv,臺南市不動產買賣
d_lvr_land_a_build.csv,schema-build.csv,臺南市建物不動產買賣
d_lvr_land_a_land.csv,schema-land.csv,臺南市土地不動產買賣
d_lvr_land_a_park.csv,schema-park.csv,臺南市停車場不動產買賣
d_lvr_land_b.csv,schema-main.csv,臺南市預售屋買賣
d_lvr_land_b_land.csv,schema-land.csv,臺南市土地預售屋買賣
d_lvr_land_b_park.csv,schema-park.csv,臺南市停車場預售屋買賣
d_lvr_land_c.csv,schema-main-rent.csv,臺南市不動產租賃
d_lvr_land_c_build.csv,schema-build.csv,臺南市建物不動產租賃
d_lvr_land_c_land.csv,schema-land.csv,臺南市土地不動產租賃
d_lvr_land_c_park.csv,schema-park.csv,臺南市停車場不動產租賃
e_lvr_land_a.csv,schema-main.csv,高雄市不動產買賣
e_lvr_land_a_build.csv,schema-build.csv,高雄市建物不動產買賣
e_lvr_land_a_land.csv,schema-land.csv,高雄市土地不動產買賣
e_lvr_land_a_park.csv,schema-park.csv,高雄市停車場不動產買賣
e_lvr_land_b.csv,schema-main.csv,高雄市預售屋買賣
e_lvr_land_b_land.csv,schema-land.csv,高雄市土地預售屋買賣
e_lvr_land_b_park.csv,schema-park.csv,高雄市停車場預售屋買賣
e_lvr_land_c.csv,schema-main-rent.csv,高雄市不動產租賃
e_lvr_land_c_build.csv,schema-build.csv,高雄市建物不動產租賃
e_lvr_land_c_land.csv,schema-land.csv,高雄市土地不動產租賃
e_lvr_land_c_park.csv,schema-park.csv,高雄市停車場不動產租賃
f_lvr_land_a.csv,schema-main.csv,新北市不動產買賣
f_lvr_land_a_build.csv,schema-build.csv,新北市建物不動產買賣
f_lvr_land_a_land.csv,schema-land.csv,新北市土地不動產買賣
f_lvr_land_a_park.csv,schema-park.csv,新北市停車場不動產買賣
f_lvr_land_b.csv,schema-main.csv,新北市預售屋買賣
f_lvr_land_b_land.csv,schema-land.csv,新北市土地預售屋買賣
f_lvr_land_b_park.csv,schema-park.csv,新北市停車場預售屋買賣
f_lvr_land_c.csv,schema-main-rent.csv,新北市不動產租賃
f_lvr_land_c_build.csv,schema-build.csv,新北市建物不動產租賃
f_lvr_land_c_land.csv,schema-land.csv,新北市土地不動產租賃
f_lvr_land_c_park.csv,schema-park.csv,新北市停車場不動產租賃
g_lvr_land_a.csv,schema-main.csv,宜蘭縣不動產買賣
g_lvr_land_a_build.csv,schema-build.csv,宜蘭縣建物不動產買賣
g_lvr_land_a_land.csv,schema-land.csv,宜蘭縣土地不動產買賣
g_lvr_land_a_park.csv,schema-park.csv,宜蘭縣停車場不動產買賣
g_lvr_land_c.csv,schema-main-rent.csv,宜蘭縣不動產租賃
g_lvr_land_c_build.csv,schema-build.csv,宜蘭縣建物不動產租賃
g_lvr_land_c_land.csv,schema-land.csv,宜蘭縣土地不動產租賃
